66 12.2 0.005320656 5 5,1
67 8.571428571 0.005320572 12 3,1
91 5.066666667 0.002622633 6 6,1
53 1.789473684 0.018247538 3 2,1
55 3.583333333 0.008066429 5 4,1
39 4.571428571 0.010074071 6 5,1
51 2.1875 0.010064294 10 9,1
41 2.416666667 0.015459882 5 5,1
69 3.3125 0.007994304 6 6,1
29 8.666666667 0.01438009 7 6,1
39 3.333333333 0.000743035 9 9,1
33 2.3 -0.002374659 11 11,1
52 3 -0.007694416 6 5,1
50 6.142857143 -0.009824209 9 9,1
29 3.142857143 -0.010368125 12 12,1
129 5.45 0.001803535 19 5.333333333,2
95 2.8 -0.016251684 6 6,1
65 4.416666667 -0.017395435 10 4,1
36 2.6 -0.052141405 7 7,1
57 3.384615385 -0.020650853 12 12,1
108 5 -0.010673364 17 4.666666667,2
68 1.344827586 -0.004943062 15 2,0
65 2.611111111 -0.003447206 6 6,1
82 1.928571429 -0.006492248 6 5,1
43 6.166666667 -0.005413833 7 7,1
88 1.933333333 -0.005185723 7 1.333333333,1
51 3.25 -0.004766698 2 2,1
84 4.25 -0.005768964 16 16,2
166 5.64 -0.005848559 15 6.5,2
355 6.888888889 -0.005327745 149 10.46153846,2
353 3.706666667 -0.007251814 58 5.444444444,1
385 6.403846154 0.124472277 103 11.875,2
250 4.102040816 -0.016491335 51 24.5,1
286 4.107142857 0.08858702 84 7.4,2
669 3.778571429 0.070671434 202 10.22222222,2
748 2.224137931 0.027279056 104 3.16,0
315 3.256756757 0.049684662 83 3.368421053,1
217 3.617021277 0.198579054 50 6.142857143,1
187 5.678571429 0.025726749 43 6.166666667,2
232 3.549019608 0 53 12.25,2
152 3.75 -0.008943912 24 11,0
253 3.6 0 54 9.8,2
213 3.733333333 0 34 33,0
191 2.82 0 43 9.75,1
143 3.46875 -0.009479529 25 7.333333333,2
170 3.857142857 0 32 5.4,0
266 2.970149254 -0.000000000000000156 33 3.125,0
121 2.903225806 0.026308107 23 6.666666667,2
169 1.52238806 -0.008040964 24 3.8,0
274 2.653333333 -0.009984787 24 5,0
216 2.927272727 -0.008224132 30 9,2
198 3.4 -0.003083736 43 5.142857143,1
202 3.488888889 -0.098264662 16 4.333333333,1
224 3.666666667 -0.011446664 45 6.5,2
193 3.825 -0.010350364 44 4.5,2
252 5.146341463 -0.013014212 39 12,1
185 5.379310345 -0.016166601 52 25,2
290 3.603174603 -0.016179313 81 5.230769231,2
498 4.724137931 -0.01875895 102 19.4,2
199 4.378378378 -0.023794559 24 11,0
227 3.283018868 -0.031785315 33 5.6,0
226 4.380952381 -0.03275784 58 13.5,2
253 2.833333333 -0.033795246 34 10.33333333,0
279 2.875 -0.03816044 43 3.3,0
271 2.871428571 0.000223049 30 2,0
192 1.782608696 -0.009415082 20 9,1
169 4.28125 -0.005033194 38 11.66666667,1
222 3.625 -0.008192313 37 37,2
190 4 -0.005978286 41 19.5,2
209 2.8 -0.011802289 35 4.833333333,1
149 2.547619048 -0.019721756 42 2.230769231,0
193 3.195652174 -0.024964756 29 28,2
104 3.52173913 -0.028594903 28 4.6,1
321 2.309278351 -0.017625745 42 4.25,0
385 2.632075472 -0.013360255 53 2.785714286,0
210 2.5 0.013481935 24 3,2
151 2.511627907 0.023438663 28 3.666666667,1
223 2.484375 0.0086204 26 4.2,0
189 3.2 0.013760932 21 6,0
198 2.473684211 0.015373597 32 15,1
162 2.857142857 0.014029506 39 18.5,1
152 3.75 0.020661955 59 18.66666667,2
76 3 0.020760963 19 19,1
99 3.304347826 0.012897801 16 4.333333333,1
83 1.862068966 0.020001462 11 10,1
125 1.976190476 0.01573346 25 4,0
197 2.177419355 0.015631865 12 11,1
125 2.125 0.026040209 9 3.5,1
108 2.857142857 0.024281692 11 11,1
97 2.464285714 0.016564807 4 4,1
164 3.432432432 0.017508696 4 3,1
240 2.428571429 0.105332821 28 3.666666667,0
245 2.266666667 0.010575213 33 1.2,1
171 2.109090909 0.016749139 8 8,1
119 3.407407407 0.012203487 27 8,2
184 1.555555556 0.015246333 24 5,2
99 2.96 0.037801558 14 3.666666667,1
106 1.717948718 0.020974578 8 7,1
101 1.525 -0.002334991 9 8,0
130 2.170731707 -0.000756877 11 2.666666667,0
47 1.35 -0.001663577 3 3,2
68 2.090909091 -0.006520154 5 1.5,0
70 2.333333333 0.03896086 7 2.5,1
99 1.828571429 0.024790121 15 4,1
99 6.071428571 -0.020193743 23 6.666666667,2
84 2.818181818 0.017264993 18 8,1
141 3.272727273 0.026230856 26 5.5,2
199 3.326086957 0.003380597 4 3,0
115 4.75 -0.00456061 15 6.5,2
79 1.724137931 0.005018761 9 2,1
54 2.375 -0.003602443 12 3,1
139 3.633333333 -0.002266072 17 16,2
127 4.08 -0.007381525 15 14,2
112 4.6 -0.042433762 11 11,1
136 1.775510204 0.020414145 11 4.5,0
114 2.8 -0.05220157 44 7.8,1
55 4.5 -0.076587931 18 8,2
73 2.842105263 -0.016829292 9 9,0
72 3.235294118 -0.024066781 6 5,1
78 2.714285714 -0.018174112 14 3.666666667,1
79 2.590909091 -0.018798035 6 2,1
68 2.578947368 -0.014572987 13 13,1
79 2.95 -0.011760509 9 9,1
117 3.875 -0.008143466 16 16,1
126 1.930232558 -0.007596886 9 3.5,1
103 2.322580645 -0.007445361 6 2,1
76 4.428571429 0.000181025 13 13,1
73 4.615384615 -0.001599073 6 6,1
57 2.166666667 -0.006938885 14 6,1
79 1.925925926 -0.009051235 9 3.5,0
60 2.157894737 -0.005304686 6 5,1
63 2.315789474 0.014024144 6 6,1
70 3.117647059 0.012646337 7 2.5,1
86 1.606060606 0.011844358 18 8,0
63 2 0.013662543 6 6,2
50 2.125 0.022168063 6 5,0
70 2.181818182 0.015809813 8 3,0
53 2.533333333 0.016437434 10 1.5,1
97 3.85 0.018153564 17 7.5,1
119 1.428571429 0.011240899 8 8,0
136 1.956521739 0.009571025 19 2.166666667,0
50 1.5 0.013932393 15 6.5,1
43 2.583333333 0.008295829 8 3,1
47 2.357142857 0.003325228 6 6,1
41 2.416666667 0.003949248 9 8,1
44 2.384615385 0.001633833 13 3.333333333,1
66 1.64 0.003727188 15 1.5,1
62 4.636363636 0.009123422 17 2.4,2
33 2.3 0.004260202 2 1,1
33 1.2 0.004312711 11 1.75,2
59 1.80952381 0.008618025 2 2,0
36 3 0.004661725 3 3,1
51 4.1 0.00790625 10 2.333333333,1
27 4.4 0.005309629 5 5,1
39 2.9 0.004914393 0 0,1
149 2.040816327 0.00518981 5 1.5,0
154 1.655172414 0.004763067 6 5,0
123 1.860465116 0.005313502 7 1.333333333,1
81 2.115384615 0.006772058 10 9,2
72 1.057142857 0.007397682 4 1,0
41 2.153846154 0.009338256 6 6,2
31 1.818181818 0.011935695 8 1.666666667,1
53 3.076923077 0.01151579 7 7,1
45 3.5 0.011919862 3 3,1
25 2.125 0.01601672 2 2,1
45 1.8125 0.009002868 9 9,2
49 2.5 0.020566912 14 13,2
66 4.076923077 0.008709063 12 11,2
46 1.705882353 0.005741587 4 4,1
40 4 -0.003805819 3 3,1
28 2.5 -0.007309783 4 4,1
35 3.375 -0.005312863 4 3,2
97 3.041666667 -0.001763823 13 0.625,2
116 2.866666667 -0.009929033 18 5,2
36 6.2 -0.01544003 4 4,1
42 1.625 -0.010709414 4 4,0
48 2.428571429 -0.014575006 9 8,1
57 1.47826087 -0.0117702 7 1.333333333,1
35 3.375 -0.007294954 6 5,2
25 7.333333333 -0.014174285 10 2.333333333,1
33 3.125 -0.011502241 9 9,1
43 5.142857143 -0.00825248 4 4,1
40 4.714285714 -0.008903394 8 1.666666667,1
42 3.2 -0.005447607 5 5,1
43 3.3 -0.003524322 6 6,1
67 1.233333333 -0.00049275 10 9,0
75 2.125 0.000722419 10 10,1
107 1.276595745 0.004067682 12 2,0
186 1.066666667 0.006693301 12 3,0
50 1.272727273 0.019333034 6 2,1
73 2.173913043 -0.030407818 8 3,1
39 2 0.029427711 3 3,2
44 1.75 0.069077203 14 14,0
49 5.125 0.044052675 3 3,1
28 2.111111111 0.023585982 5 5,0
45 2 -0.046969435 7 7,2
27 2 0.021346228 4 4,1
